,id,first_name,height_feet,height_inches,last_name,position,team,weight_pounds
0,14,Ike,,,Anigbogu,C,Indiana Pacers,
1,25,Ron,,,Baker,G,New York Knicks,
2,47,Jabari,,,Bird,G,Boston Celtics,
3,67,MarShon,,,Brooks,G,Memphis Grizzlies,
4,71,Lorenzo,,,Brown,G,Toronto Raptors,
5,90,Omri,,,Casspi,F,Memphis Grizzlies,
6,1,Alex,6.0,6.0,Abrines,G,Oklahoma City Thunder,200.0
7,119,Tyler,,,Davis,C,Oklahoma City Thunder,
8,149,Keenan,,,Evans,G,Detroit Pistons,
9,179,Marcin,,,Gortat,C,LA Clippers,
10,1593,Andrew,,,Bogut,F,Golden State Warriors,
11,241,Amir,6.0,9.0,Johnson,C-F,Philadelphia 76ers,240.0
12,392,Malachi,,,Richardson,G,Utah Jazz,
13,281,Zach,,,Lofton,G,Detroit Pistons,
14,263,Kosta,7.0,0.0,Koufos,C,Sacramento Kings,245.0
15,382,Billy,,,Preston,F,Cleveland Cavaliers,
16,384,Zhou,,,Qi,F-C,Houston Rockets,
17,388,Zach,,,Randolph,F,Sacramento Kings,
18,430,DJ,,,Stephens,G-F,Memphis Grizzlies,
19,437,Milos,,,Teodosic,G,LA Clippers,
20,448,Gary,,,Trent Jr.,G,Portland Trail Blazers,
21,494,Michael,,,Smith,,Boston Celtics,
22,495,John,,,Morton,,Cleveland Cavaliers,
23,496,Howard,,,Wright,,Atlanta Hawks,
24,497,Michael,,,Ansley,,Orlando Magic,
25,498,John,,,Salley,,Detroit Pistons,
26,499,Dan,,,Schayes,,Milwaukee Bucks,
27,500,Mark,,,Eaton,,Utah Jazz,
28,501,Kevin,,,Johnson,,Phoenix Suns,
29,502,Danny,,,Ainge,,Portland Trail Blazers,
30,503,Kenny,,,Smith,,Houston Rockets,
31,504,Randy,,,Breuer,,Minnesota Timberwolves,
32,505,Herb,,,Williams,,Dallas Mavericks,
33,506,Joe,,,Wolf,,Denver Nuggets,
34,507,Steve,,,Johnson,,Golden State Warriors,
35,508,Glen,,,Rice,,Miami Heat,
36,509,Greg,,,Foster,,Washington Wizards,
37,510,Larry,,,Nance,,Cleveland Cavaliers,
38,511,Duane,,,Ferrell,,Atlanta Hawks,
39,512,Nick,,,Anderson,,Orlando Magic,
40,513,Joe,,,Dumars,,Detroit Pistons,
41,514,Jay,,,Humphries,,Milwaukee Bucks,
42,515,Darrell,,,Griffith,,Utah Jazz,
43,516,Dan,,,Majerle,,Phoenix Suns,
44,517,Tom,,,Chambers,,Phoenix Suns,
45,518,Alaa,,,Abdelnaby,,Portland Trail Blazers,
46,519,Adrian,,,Caldwell,,Houston Rockets,
47,520,Vernon,,,Maxwell,,Houston Rockets,
48,521,Doug,,,West,,Minnesota Timberwolves,
49,522,Tony,,,Campbell,,Minnesota Timberwolves,
50,523,Roy,,,Tarpley,,Dallas Mavericks,
51,524,Anthony,,,Cook,,Denver Nuggets,
52,525,Todd,,,Lichti,,Denver Nuggets,
53,526,Tom,,,Tolbert,,Golden State Warriors,
54,527,Billy,,,Thompson,,Miami Heat,
55,528,Byron,,,Irvin,,Washington Wizards,
56,529,Mark,,,Price,,Cleveland Cavaliers,
57,530,Dominique,,,Wilkins,,Atlanta Hawks,
58,531,Dennis,,,Scott,,Orlando Magic,
59,532,Terry,,,Catledge,,Orlando Magic,
60,533,Bill,,,Laimbeer,,Detroit Pistons,
61,534,William,,,Bedford,,Detroit Pistons,
62,535,Ricky,,,Pierce,,Milwaukee Bucks,
63,536,Blue,,,Edwards,,Utah Jazz,
